book_id,original_title,norm_title
25742454,The Switchblade Mamma,the switchblade mamma
30128855,Cruelle,cruelle
13571772,"Captain America: Winter Soldier (The Ultimate Graphic Novels Collection: Publication Order, #7)","captain america: winter soldier (the ultimate graphic novels collection: publication order, #7)"
35452242,Bounty Hunter 4/3: My Life in Combat from Marine Scout Sniper to MARSOC,bounty hunter 4/3: my life in combat from marine scout sniper to marsoc
707611,"Superman Archives, Vol. 2","superman archives, vol. 2"
2250580,"A.I. Revolution, Vol. 1","a.i. revolution, vol. 1"
27036536,"War Stories, Volume 3","war stories, volume 3"
27036537,"Crossed, Volume 15","crossed, volume 15"
27036538,"Crossed + One Hundred, Volume 2 (Crossed +100 #2)","crossed + one hundred, volume 2 (crossed +100 #2)"
27036539,"War Stories, Volume 4","war stories, volume 4"
23272155,"The Breaker New Waves, Vol 11","the breaker new waves, vol 11"
11827783,Sherlock Holmes: Year One,sherlock holmes: year one
12349665,"Naoki Urasawa's 20th Century Boys, Volume 20 (20th Century Boys, #20)","naoki urasawa's 20th century boys, volume 20 (20th century boys, #20)"
12349663,"Naoki Urasawa's 20th Century Boys, Volume 19 (20th Century Boys, #19)","naoki urasawa's 20th century boys, volume 19 (20th century boys, #19)"
30735315,She Wolf #1,she wolf #1
17405342,Seiyuu-ka! 12,seiyuu-ka! 12
13340336,"20th Century Boys, Libro 15: ¡Viva la Expo! (20th Century Boys, #15)","20th century boys, libro 15: ¡viva la expo! (20th century boys, #15)"
18711343,續．星守犬,續．星守犬
2168737,The Thing: Idol of Millions,the thing: idol of millions
18955715,"D.Gray-man, Vol. 16: Blood & Chains","d.gray-man, vol. 16: blood & chains"
19115865,"Transmetropolitan, Vol. 4: The New Scum","transmetropolitan, vol. 4: the new scum"
24089666,是-ZE- かみのほん [ZE - Kami no Hon],是-ze- かみのほん [ze - kami no hon]
9858341,Lychee Light Club,lychee light club
35503050,"Tokyo Ghoul: re, Vol. 5","tokyo ghoul: re, vol. 5"
13082921,In These Words: Chapter 1,in these words: chapter 1
13605042,Keeping the World Strange:  A Planetary Guide,keeping the world strange: a planetary guide
19312284,Moskva,moskva
13407377,Piltrafilla,piltrafilla
22889758,"A Game of Thrones: The Graphic Novel, Vol. 4","a game of thrones: the graphic novel, vol. 4"
12958077,"Pandora Hearts, Volume 10","pandora hearts, volume 10"
28422525,"B.P.R.D. Inferno sulla Terra, Vol. 3: Russia (B.P.R.D. Inferno sulla Terra, #3)","b.p.r.d. inferno sulla terra, vol. 3: russia (b.p.r.d. inferno sulla terra, #3)"
6296529,Jung: A Graphic Guide,jung: a graphic guide
19541857,"All-New X-Men, Vol. 4: All-Different","all-new x-men, vol. 4: all-different"
32855795,Giant Days #20,giant days #20
10862067,Crisis en Tierras Infinitas Absolute,crisis en tierras infinitas absolute
27630357,"Judge Dredd, Vol. 6","judge dredd, vol. 6"
35268988,"僕のヒーローアカデミア 15 [Boku No Hero Academia 15] (My Hero Academia, #15)","僕のヒーローアカデミア 15 [boku no hero academia 15] (my hero academia, #15)"
27220737,"His Favorite, Vol. 8","his favorite, vol. 8"
10290984,101 Hantu Nusantara,101 hantu nusantara
877612,Kitsune Tales,kitsune tales
22702962,Líbání zakázáno 3,líbání zakázáno 3
6094929,"Gambit Classic, Vol. 1","gambit classic, vol. 1"
17277798,Superior Spider-Man Team-Up: Superiority Complex,superior spider-man team-up: superiority complex
17277799,"Gambit, Volume 2: Tombstone Blues","gambit, volume 2: tombstone blues"
29774832,Ut n. 4: Gli uomini se ne vanno gli arrabbiati restano,ut n. 4: gli uomini se ne vanno gli arrabbiati restano
17277794,First X-Men,first x-men
17277795,"Ultimate Comics: Spider-Man, by Brian Michael Bendis, Volume 4","ultimate comics: spider-man, by brian michael bendis, volume 4"
17277796,"The Invincible Iron Man, Vol. 11: The Future","the invincible iron man, vol. 11: the future"
17277797,"Uncanny X-Men by Kieron Gillen, Vol. 4","uncanny x-men by kieron gillen, vol. 4"
17277790,"Uncanny X-Force, Vol. 7: Final Execution - Book 2","uncanny x-force, vol. 7: final execution - book 2"
17277791,X-Force: Phalanx Covenant,x-force: phalanx covenant
17277792,"FF by Jonathan Hickman, Vol. 4","ff by jonathan hickman, vol. 4"
17277793,Avengers Assemble,avengers assemble
24311583,"The DeadJohnson's Big Incredible Day (Beautiful Stories for Ugly Children, #2)","the deadjohnson's big incredible day (beautiful stories for ugly children, #2)"
51923,Complete Cartoons of the New Yorker,complete cartoons of the new yorker
20327477,Verotika,verotika
19300111,Spirou - Le journal d'un ingénu,spirou - le journal d'un ingénu
16117517,"聖闘士星矢 THE LOST CANVAS 冥王神話 外伝 3 (Saint Seiya The Lost Canvas Gaiden, #3)","聖闘士星矢 the lost canvas 冥王神話 外伝 3 (saint seiya the lost canvas gaiden, #3)"
23716,Rumic Theater: One Or Double,rumic theater: one or double
23717,"Rumic World Trilogy, Volume 3 (Rumic World Trilogy, #3)","rumic world trilogy, volume 3 (rumic world trilogy, #3)"
23714,"One Pound Gospel, Volume 1","one pound gospel, volume 1"
23715,"Rumic Theater, Vol. 1","rumic theater, vol. 1"
23713,"One Pound Gospel, Volume 3. Knuckle Sandwich.","one pound gospel, volume 3. knuckle sandwich."
23711,"Maison Ikkoku, Volume 2 (Maison Ikkoku, #2)","maison ikkoku, volume 2 (maison ikkoku, #2)"
413739,Southpaw,southpaw
25936779,"ক্যালকুলাসের কান্ড (টিনটিন, #১৮)","ক্যালকুলাসের কান্ড (টিনটিন, #১৮)"
29968134,"Buffy the Vampire Slayer: Own It, Part 1 (Season 10, #26)","buffy the vampire slayer: own it, part 1 (season 10, #26)"
30970856,Marvel Horror (Marvel Ultimate Graphic Novels Collection),marvel horror (marvel ultimate graphic novels collection)
25051311,Orphan Black #1,orphan black #1
32063060,I Mittens rike,i mittens rike
6550232,X-Men Legacy: Salvage,x-men legacy: salvage
26039100,"Guardianes de la Galaxia, Vol. 4 (Marvel Now! Guardianes de la Galaxia, #4)","guardianes de la galaxia, vol. 4 (marvel now! guardianes de la galaxia, #4)"
33590273,"Night's Dominion, Vol. 1 (Night's Dominion, #1-6)","night's dominion, vol. 1 (night's dominion, #1-6)"
33590272,Motro Volume One,motro volume one
33590271,Space Battle Lunchtime Volume 2: A Recipe for Disaster,space battle lunchtime volume 2: a recipe for disaster
1408957,"The New Avengers, Vol. 6: Revolution","the new avengers, vol. 6: revolution"
33653798,God Country #1,god country #1
1408959,The New Avengers Collection Vol. 1,the new avengers collection vol. 1
