antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_len,consequent_len,rule_len,rule_label
"frozenset({'7202841', '13490570'})","frozenset({'6120349', '9674335'})",0.0071084378524315,0.0071767882163972,0.0053313283893236,0.75,104.50357142857143,1.0,0.0052803126363073,3.971292847134411,0.9975217705572574,0.5954198473282444,0.7481928332931741,0.7464285714285714,2,2,4,"{7202841, 13490570} → {6120349, 9674335}"
"frozenset({'6120349', '9674335'})","frozenset({'7202841', '13490570'})",0.0071767882163972,0.0071084378524315,0.0053313283893236,0.7428571428571428,104.50357142857142,1.0,0.0052803126363073,3.861244963907209,0.9975904443908988,0.5954198473282444,0.7410161724139626,0.7464285714285714,2,2,4,"{6120349, 9674335} → {7202841, 13490570}"
"frozenset({'7202841', '9674335'})","frozenset({'6120349', '13490570'})",0.0075527152182085,0.0070400874884658,0.0053313283893236,0.7058823529411764,100.2661336379212,1.0,0.005278156613412,3.3760637025392155,0.9975608356290174,0.5756457564575647,0.7037970583173899,0.7315819531696173,2,2,4,"{7202841, 9674335} → {6120349, 13490570}"
"frozenset({'6120349', '13490570'})","frozenset({'7202841', '9674335'})",0.0070400874884658,0.0075527152182085,0.0053313283893236,0.7572815533980582,100.2661336379212,1.0,0.005278156613412,4.088882813300981,0.9970458326163024,0.5756457564575647,0.7554344192142074,0.7315819531696173,2,2,4,"{6120349, 13490570} → {7202841, 9674335}"
"frozenset({'7202841', '3217221'})","frozenset({'6120349', '9674335'})",0.0082362188578654,0.0071767882163972,0.0052288028433751,0.6348547717842324,88.4594546532306,1.0,0.0051696932449283,2.718981750452822,0.9969061228902312,0.5134228187919463,0.6322152585858809,0.6817131001778305,2,2,4,"{7202841, 3217221} → {6120349, 9674335}"
"frozenset({'6120349', '9674335'})","frozenset({'7202841', '3217221'})",0.0071767882163972,0.0082362188578654,0.0052288028433751,0.7285714285714285,88.4594546532306,1.0,0.0051696932449283,3.6538665621026007,0.99584233541959,0.5134228187919463,0.7263173181057399,0.6817131001778305,2,2,4,"{6120349, 9674335} → {7202841, 3217221}"
"frozenset({'7202841', '3217221'})","frozenset({'6120349', '13490570'})",0.0082362188578654,0.0070400874884658,0.0051262772974266,0.6224066390041494,88.4089352616525,1.0,0.005068293596093,2.62970702104703,0.9968996094647368,0.5050505050505051,0.6197295014248981,0.6752809894049874,2,2,4,"{7202841, 3217221} → {6120349, 13490570}"
"frozenset({'6120349', '13490570'})","frozenset({'7202841', '3217221'})",0.0070400874884658,0.0082362188578654,0.0051262772974266,0.7281553398058253,88.4089352616525,1.0,0.005068293596093,3.648273909201424,0.9956987322893364,0.5050505050505051,0.72589777388209,0.6752809894049874,2,2,4,"{6120349, 13490570} → {7202841, 3217221}"
frozenset({'30065'}),frozenset({'138395'}),0.0086463210416595,0.0067325108506202,0.0051262772974266,0.592885375494071,88.06304046869042,1.0,0.0050680658471956,2.43977354130867,0.9972671906600478,0.4999999999999999,0.5901258936255165,0.6771533476455127,1,1,2,{30065} → {138395}
frozenset({'138395'}),frozenset({'30065'}),0.0067325108506202,0.0086463210416595,0.0051262772974266,0.7614213197969543,88.06304046869042,1.0,0.0050680658471956,4.1552483990381495,0.995345673915038,0.4999999999999999,0.7593405005025744,0.6771533476455127,1,1,2,{138395} → {30065}
