antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_len,consequent_len,rule_len
frozenset({'15704307'}),frozenset({'17131869'}),0.09107685998427942,0.05488534226444756,0.0422747001127781,0.4641651031894934,8.456995693915172,1.0,0.03727591548016976,1.7638169207739824,0.9701091988352806,0.4077125906394199,0.43304773402378466,0.6172008579459297,1,1,2
frozenset({'17131869'}),frozenset({'15704307'}),0.05488534226444756,0.09107685998427942,0.0422747001127781,0.7702366127023661,8.456995693915172,1.0,0.03727591548016976,3.955909384458664,0.9329605587497061,0.4077125906394199,0.7472136232622926,0.6172008579459297,1,1,2
frozenset({'15704307'}),frozenset({'18659623'}),0.09107685998427942,0.044154335121834525,0.010286729776836062,0.11294559099437149,2.557972862295901,1.0,0.006265291579245788,1.077550210194717,0.6700956454871189,0.0823304157549234,0.07196899918074667,0.17295886360864085,1,1,2
frozenset({'18659623'}),frozenset({'15704307'}),0.044154335121834525,0.09107685998427942,0.010286729776836062,0.23297213622291021,2.557972862295901,1.0,0.006265291579245788,1.184993639657226,0.6372006073644183,0.0823304157549234,0.15611361400280402,0.17295886360864085,1,1,2
frozenset({'19358975'}),frozenset({'15704307'}),0.04302655411640067,0.09107685998427942,0.030791838966542497,0.715647339158062,7.857619809044673,1.0,0.026873115521677052,3.1964643387703697,0.9119741011047173,0.2980482963943103,0.6871543386638612,0.5268668215490122,1,1,2
frozenset({'15704307'}),frozenset({'19358975'}),0.09107685998427942,0.04302655411640067,0.030791838966542497,0.3380863039399625,7.857619809044672,1.0,0.026873115521677052,1.445767705940925,0.9601856963127648,0.2980482963943103,0.30832595313146355,0.5268668215490122,1,1,2
frozenset({'19358975'}),frozenset({'17131869'}),0.04302655411640067,0.05488534226444756,0.030620963056628276,0.7116759332803813,12.96659370094473,1.0,0.02825943590748985,3.277959653137908,0.964372363071005,0.45505332656170644,0.6949321816567433,0.6347918894297299,1,1,2
frozenset({'17131869'}),frozenset({'19358975'}),0.05488534226444756,0.04302655411640067,0.030620963056628276,0.5579078455790785,12.966593700944731,1.0,0.02825943590748985,2.164646977590226,0.9764727865020534,0.45505332656170644,0.5380309074169494,0.6347918894297299,1,1,2
"frozenset({'19358975', '15704307'})",frozenset({'17131869'}),0.030791838966542497,0.05488534226444756,0.025665561669115888,0.8335183129855716,15.18653758173774,1.0,0.023975541048485448,5.676988710798217,0.9638303136955144,0.42767653758542146,0.8238502750414323,0.6505698663308929,2,1,3
"frozenset({'19358975', '17131869'})",frozenset({'15704307'}),0.030620963056628276,0.09107685998427942,0.025665561669115888,0.8381696428571429,9.202882521441973,1.0,0.022876700504223562,5.6165181617523166,0.91949419106976,0.2672597864768683,0.821953749422577,0.5599853842803538,2,1,3
